Reference,DOI,Location,Season,Urchin,Plant,Unit,Consumption_mean,Consumption_sd,Consumption_n,Defecation_mean,Defecation_sd,Defecation_n,Absorption_mean,Absorption_sd,Absorption_n,Percentage_mean,Percentage_sd,Percentage_n,Source,Notes
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Winter,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,65.56040757,1.513828239,3,16.59388646,5.676855895,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Spring,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,25.15283843,12.34352256,3,4.585152838,2.183406114,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Spring,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,20.49490539,3.26055313,3,5.109170306,0.873362445,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Spring,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,30.3930131,8.034934498,3,4.934497817,3.362445415,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Spring,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,55.89519651,10.24745269,3,24.97816594,5.327510917,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,68.00582242,10.01455604,3,18.25327511,6.899563319,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,60.3202329,14.67248908,3,12.7510917,2.270742358,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,54.73071325,7.68558952,3,8.296943231,2.227074236,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,68.35516739,5.938864629,3,12.83842795,8.122270742,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,58.22416303,8.500727802,3,14.58515284,2.183406114,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,50.77147016,8.733624454,3,13.97379913,4.80349345,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Inomata et al. 2016,10.1016/j.aquaculture.2015.12.003,"Kitsunezaki, Miyagi Prefecture, Japan","Spring, Summer",Mesocentrotus nudus,Pyropia yezoensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,0.173205081,3,Table 3,s.d. calculated as s.e.m. * √n
Hiratsuka & Uehara 2007 ,10.1016/j.cbpa.2007.04.009,"Onna, Okinawa, Japan",Winter,Echinometra sp. A,"Ectocarpus, Centroceras, Hydrolithon, Jania, Polysiphonia, Sphacelaria, Enteromorpha, Lobophora, Laurencia, Cladophora, Ceramium, Leveillea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.4,3.2,10,Table 3,reconstituted algal feed
Hiratsuka & Uehara 2007 ,10.1016/j.cbpa.2007.04.009,"Onna, Okinawa, Japan",Winter,Echinometra mathaei,"Ectocarpus, Centroceras, Hydrolithon, Jania, Polysiphonia, Sphacelaria, Enteromorpha, Lobophora, Laurencia, Cladophora, Ceramium, Leveillea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,5.6,10,Table 3,reconstituted algal feed
Hiratsuka & Uehara 2007 ,10.1016/j.cbpa.2007.04.009,"Onna, Okinawa, Japan",Winter,Echinometra sp. C,"Ectocarpus, Centroceras, Hydrolithon, Jania, Polysiphonia, Sphacelaria, Enteromorpha, Lobophora, Laurencia, Cladophora, Ceramium, Leveillea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2,6.4,10,Table 3,reconstituted algal feed
Hiratsuka & Uehara 2007 ,10.1016/j.cbpa.2007.04.009,"Onna, Okinawa, Japan",Winter,Echinometra oblonga,"Ectocarpus, Centroceras, Hydrolithon, Jania, Polysiphonia, Sphacelaria, Enteromorpha, Lobophora, Laurencia, Cladophora, Ceramium, Leveillea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,5.6,10,Table 3,reconstituted algal feed
Ciriminna et al. 2024,10.1016/j.aqrep.2024.102017,"Santa Marinella, Italy",Spring,Paracentrotus lividus,"Phymatolithon calcareum, Laminaria sp., Ulva sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.06217617,5.388601036,3,Figure 2,"reconstituted algal feed, n from text"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Spring,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.15810103,11.88678547,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Summer,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.09571036,8.490561049,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Summer,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.87345243,9.870277219,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Summer,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.96424309,13.16026386,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Autumn,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.40892172,2.334904288,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Autumn,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.14544604,9.817264094,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Autumn,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.14775811,10.29469951,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Winter,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.55291941,8.066085877,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Winter,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.51414594,12.52347179,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Winter,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.02717433,13.00122449,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Spring,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.2672267,14.11566351,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Spring,Strongylocentrotus intermedius,Saccharina religiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.79780274,8.118993241,6,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 3–8, i.e. 30.4 / 5.5"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Spring,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.66035171,9.870277219,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Summer,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.92583568,5.83720784,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Summer,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.47485835,12.52347179,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Summer,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.35104178,8.702825075,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Autumn,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.81100417,7.482254043,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Autumn,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.39181885,7.535425812,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Autumn,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.88724671,3.2370264,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Winter,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.89602494,5.253534649,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Winter,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.15320191,5.943286972,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Winter,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5365604,6.367920787,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Spring,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2022331,4.616689689,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Agatsuma 2000,10.1046/j.1444-2906.2000.00075.x,"Suttsu, Hokkaido, Japan",Spring,Strongylocentrotus intermedius,Sargassum confusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5750207,12.52357755,4,Figure 3,"n calculated from text as mean monthly days divided by mean of the experimental day range 4–12, i.e. 30.4 / 8"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,8,6,NA,25,7,NA,NA,NA,NA,100,NA,NA,Table 1,"defecation is greater than consumption, which is impossible, so 100% defecation is the closest realistic result, calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,13,19,NA,16,11,NA,NA,NA,NA,100,NA,NA,Table 1,"defecation is greater than consumption, which is impossible, so 100% defecation is the closest realistic result, calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,41,32,NA,40,18,NA,NA,NA,NA,98,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,42,38,NA,39,18,NA,NA,NA,NA,93,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,61,NA,NA,50,NA,NA,NA,NA,NA,83,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,63,NA,NA,32,NA,NA,NA,NA,NA,51,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,0,NA,NA,16,NA,NA,NA,NA,NA,100,NA,NA,Table 1,"defecation is greater than consumption, which is impossible, so 100% defecation is the closest realistic result, calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,36,40,NA,19,10,NA,NA,NA,NA,54,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,12,9,NA,0,0,NA,NA,NA,NA,0,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Autumn,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,28,24,NA,31,9,NA,NA,NA,NA,100,NA,NA,Table 1,"defecation is greater than consumption, which is impossible, so 100% defecation is the closest realistic result, calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,62,36,NA,23,22,NA,NA,NA,NA,36,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Autumn,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,18,19,NA,36,14,NA,NA,NA,NA,100,NA,NA,Table 1,"defecation is greater than consumption, which is impossible, so 100% defecation is the closest realistic result, calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Autumn,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,39,20,NA,35,21,NA,NA,NA,NA,89,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Autumn,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,81,18,NA,35,14,NA,NA,NA,NA,43,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Autumn,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,33,25,NA,5,9,NA,NA,NA,NA,15,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Autumn,Paracentrotus lividus,Caulerpa taxifolia,mg dry mass urchin^−1 d^−1,25,9,NA,17,106,NA,NA,NA,NA,67,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Cystoseira compressa,mg dry mass urchin^−1 d^−1,46,45,NA,37,18,NA,NA,NA,NA,80,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Cystoseira compressa,mg dry mass urchin^−1 d^−1,84,42,NA,43,21,NA,NA,NA,NA,51,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Cystoseira compressa,mg dry mass urchin^−1 d^−1,117,51,NA,78,25,NA,NA,NA,NA,67,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Cystoseira compressa,mg dry mass urchin^−1 d^−1,89,55,NA,59,37,NA,NA,NA,NA,66,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Cystoseira compressa,mg dry mass urchin^−1 d^−1,24,15,NA,27,6,NA,NA,NA,NA,100,NA,NA,Table 1,"defecation is greater than consumption, which is impossible, so 100% defecation is the closest realistic result, calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Cystoseira compressa,mg dry mass urchin^−1 d^−1,74,45,NA,69,26,NA,NA,NA,NA,93,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Cystoseira compressa,mg dry mass urchin^−1 d^−1,59,45,NA,55,29,NA,NA,NA,NA,93,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Cystoseira compressa,mg dry mass urchin^−1 d^−1,27,NA,NA,25,NA,NA,NA,NA,NA,94,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Cystoseira compressa,mg dry mass urchin^−1 d^−1,71,NA,NA,49,NA,NA,NA,NA,NA,70,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Cystoseira compressa,mg dry mass urchin^−1 d^−1,137,91,NA,114,42,NA,NA,NA,NA,83,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Autumn,Paracentrotus lividus,Cystoseira compressa,mg dry mass urchin^−1 d^−1,88,90,NA,79,39,NA,NA,NA,NA,90,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,85,73,NA,51,31,NA,NA,NA,NA,60,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,213,78,NA,182,63,NA,NA,NA,NA,86,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,134,96,NA,103,78,NA,NA,NA,NA,77,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,79,57,NA,55,29,NA,NA,NA,NA,70,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,138,77,NA,125,41,NA,NA,NA,NA,91,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Spring,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,121,77,NA,105,50,NA,NA,NA,NA,87,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,136,NA,NA,100,NA,NA,NA,NA,NA,74,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,156,NA,NA,116,NA,NA,NA,NA,NA,74,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,119,NA,NA,86,NA,NA,NA,NA,NA,72,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,132,NA,NA,88,NA,NA,NA,NA,NA,67,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Summer,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,397,134,NA,267,77,NA,NA,NA,NA,67,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Ganteaume et al. 1998,10.1017/S0025315400040066,"Saména, Bouches-du-Rhône, France",Autumn,Paracentrotus lividus,Halopteris scoparia,mg dry mass urchin^−1 d^−1,343,146,NA,289,86,NA,NA,NA,NA,84,NA,NA,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Hollertz 2002,10.1007/s00227-001-0764-7,"Gullmarsfjord, Skagerrak, Sweden",NA,Brissopsis lyrifera,Enteromorpha sp.,g dry mass urchin^−1 h^−1,0.06,0.03,8,0.04,0.03,16,NA,NA,NA,NA,NA,NA,Table 5,"n calculated as total sample size divided by number of treatments, i.e. 24 / 3 and 48 / 3"
Dumont et al. 2006,10.1007/s00227-005-0203-2,"Gabriola Pass, British Columbia, Canada","Winter, Spring",Strongylocentrotus droebachiensis,Nereocystis luetkeana,g wet mass g urchin^−1 2d^−1,0.117303371,0.1161895,15,NA,NA,NA,0.045184358,0.044147377,14,NA,NA,NA,"Figure 1a, b",s.d. calculated as s.e.m. * √n
Dumont et al. 2006,10.1007/s00227-005-0203-2,"Gabriola Pass, British Columbia, Canada","Winter, Spring",Strongylocentrotus droebachiensis,Nereocystis luetkeana,g wet mass g urchin^−1 2d^−1,0.205955056,0.204319718,14,NA,NA,NA,0.085675978,0.089316622,15,NA,NA,NA,"Figure 1a, b",s.d. calculated as s.e.m. * √n
Dumont et al. 2006,10.1007/s00227-005-0203-2,"Gabriola Pass, British Columbia, Canada","Winter, Spring",Strongylocentrotus droebachiensis,Nereocystis luetkeana,g wet mass g urchin^−1 2d^−1,0.095393258,0.093996,15,NA,NA,NA,0.030167598,0.030637678,15,NA,NA,NA,"Figure 1a, b",s.d. calculated as s.e.m. * √n
Dumont et al. 2006,10.1007/s00227-005-0203-2,"Gabriola Pass, British Columbia, Canada","Winter, Spring",Strongylocentrotus droebachiensis,Nereocystis luetkeana,g wet mass g urchin^−1 2d^−1,0.131797753,0.13055,15,NA,NA,NA,0.033385475,0.033234092,15,NA,NA,NA,"Figure 1a, b",s.d. calculated as s.e.m. * √n
